"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.028010750E-1,-4.699707031E-2,-6.277465820E-2,4.603576660E-2,9.093225026E-2
8.078364750E-1,-4.380798340E-2,-5.851745605E-2,5.030822754E-2,8.873753338E-2
8.128413580E-1,-3.474426270E-2,-5.638122559E-2,4.977416992E-2,8.284608850E-2
8.178767590E-1,-2.569580078E-2,-5.105590820E-2,4.710388184E-2,7.406588705E-2
8.228816410E-1,-1.716613770E-2,-3.773498535E-2,4.498291016E-2,6.117244158E-2
8.279170420E-1,-7.049560547E-3,-1.483154297E-2,4.550170898E-2,4.837433711E-2
8.329219250E-1,6.256103516E-3,1.445007324E-2,5.242919922E-2,5.474271074E-2
8.379573250E-1,2.490234375E-2,4.748535156E-2,6.575012207E-2,8.484140433E-2
8.429622080E-1,4.673767090E-2,8.103942871E-2,8.279418945E-2,1.249266853E-1
8.479976080E-1,6.805419922E-2,1.103363037E-1,1.019744873E-1,1.649371699E-1
8.530024910E-1,8.668518066E-2,1.284484863E-1,1.222076416E-1,1.973525826E-1
8.580378910E-1,1.010742188E-1,1.327056885E-1,1.419219971E-1,2.190174667E-1
8.630427740E-1,1.143798828E-1,1.220550537E-1,1.605529785E-1,2.318565346E-1
8.680781750E-1,1.255798340E-1,1.044769287E-1,1.749420166E-1,2.393541989E-1
8.730830570E-1,1.340942383E-1,8.689880371E-2,1.845245361E-1,2.440941852E-1
8.781184580E-1,1.431427002E-1,7.304382324E-2,1.930541992E-1,2.511874929E-1
8.831233410E-1,1.585998535E-1,6.399536133E-2,2.031707764E-1,2.655704882E-1
8.881587410E-1,1.782989502E-1,5.493164062E-2,2.186126709E-1,2.874012885E-1
8.931636240E-1,2.017364502E-1,4.002380371E-2,2.409820557E-1,3.168151691E-1
8.981990240E-1,2.273101807E-1,1.658630371E-2,2.681427002E-1,3.519169382E-1
9.032039070E-1,2.438201904E-1,-6.317138672E-3,2.963714600E-1,3.838283911E-1
9.082393070E-1,2.512664795E-1,-2.442932129E-2,3.235473633E-1,4.103833960E-1
9.132441900E-1,2.629852295E-1,-4.040527344E-2,3.560333252E-1,4.444699604E-1
9.182795910E-1,2.858886719E-1,-5.212402344E-2,3.927917480E-1,4.886047522E-1
9.232844730E-1,3.066711426E-1,-5.212402344E-2,4.258117676E-1,5.273326890E-1
9.283198740E-1,3.119964600E-1,-4.679870605E-2,4.519042969E-1,5.511346509E-1
9.333247570E-1,2.981414795E-1,-4.998779297E-2,4.716186523E-1,5.601886062E-1
9.383601570E-1,2.677917480E-1,-7.289123535E-2,4.870605469E-1,5.605832042E-1
9.433650400E-1,2.337036133E-1,-1.021881104E-1,5.014343262E-1,5.625799252E-1
9.484004400E-1,2.049407959E-1,-1.213684082E-1,5.121002197E-1,5.647810685E-1
